customerID,support_tickets_90d,support_ticket_escalations_90d,app_logins_30d,days_since_last_login,avg_daily_usage_gb,data_overage_events_90d,payment_failures_12m,nps_score,discount_offers_accepted_12m,plan_change_count_12m
7590-VHVEG,2,0,15,7,9.28,2,0,5,2,1
5575-GNVDE,1,0,15,4,12.06,0,1,8,1,0
3668-QPYBK,1,1,6,15,10.2,3,1,4,2,0
7795-CFOCW,3,1,9,68,3.91,1,3,8,0,3
9237-HQITU,5,2,1,36,7.8,1,3,5,2,0
9305-CDSKC,9,5,9,90,8.89,2,5,0,1,1
1452-KIOVK,6,4,13,10,7.31,1,1,4,4,1
6713-OKOMC,0,1,6,11,6.78,5,1,3,3,1
7892-POOKP,6,2,11,49,10.45,2,1,5,2,4
6388-TABGU,0,0,10,9,9.48,2,3,6,3,0
9763-GRSKD,1,1,5,12,8.79,2,3,5,3,0
7469-LKBCI,6,1,11,14,3.67,1,0,3,0,2
8091-TTVAX,3,1,12,54,8.01,1,2,3,2,0
0280-XJGEX,5,0,5,60,6.2,1,1,2,3,3
5129-JLPIS,4,2,9,90,6.88,3,1,4,0,2
3655-SNQYZ,2,0,13,23,10.22,3,2,5,1,0
8191-XWSZG,2,1,13,5,3.07,1,1,5,0,3
9959-WOFKT,3,1,12,13,10.58,1,4,6,0,2
4190-MFLUW,8,2,6,65,10.81,3,1,4,2,1
4183-MYFRB,3,1,12,71,8.61,6,0,4,1,2
8779-QRDMV,4,2,0,29,7.04,2,0,4,0,1
1680-VDCWW,4,2,14,41,6.89,1,0,7,2,2
1066-JKSGK,4,2,2,12,8.75,5,2,5,0,1
3638-WEABW,3,1,16,4,5.07,2,0,8,3,2
6322-HRPFA,3,0,10,21,6.89,0,1,5,1,2
6865-JZNKO,4,1,13,48,11.97,0,2,4,2,2
6467-CHFZW,4,0,5,31,11.32,2,4,3,0,5
8665-UTDHZ,4,3,4,11,9.29,2,1,4,2,1
5248-YGIJN,1,0,17,2,7.79,2,1,5,3,0
8773-HHUOZ,6,4,4,82,8.86,4,1,3,1,2
3841-NFECX,6,3,11,36,9.66,8,3,5,2,1
4929-XIHVW,1,0,9,67,5.28,3,0,4,2,2
6827-IEAUQ,6,1,18,15,8.46,3,1,5,0,2
7310-EGVHZ,2,0,11,10,4.08,3,1,4,1,2
3413-BMNZE,4,0,9,37,7.38,1,0,6,2,1
6234-RAAPL,2,0,12,15,9.91,2,2,5,2,1
6047-YHPVI,3,2,12,27,13.37,3,1,4,3,0
6572-ADKRS,2,0,10,27,2.74,6,1,5,2,3
5380-WJKOV,8,3,5,23,7.33,4,2,2,1,0
8168-UQWWF,4,2,5,0,9.79,2,3,2,3,1
8865-TNMNX,5,0,9,0,8.93,4,2,3,2,2
9489-DEDVP,1,0,9,42,5.92,2,0,6,2,0
9867-JCZSP,4,0,16,21,6.68,2,0,8,1,0
4671-VJLCL,1,1,13,7,7.08,2,3,6,2,1
4080-IIARD,2,1,9,56,7.67,1,0,6,2,0
3714-NTNFO,3,0,10,3,7.95,2,1,3,1,1
5948-UJZLF,5,2,12,26,8.1,1,3,2,1,3
7760-OYPDY,1,0,2,9,13.13,4,2,2,1,1
7639-LIAYI,1,0,12,13,6.98,3,0,9,1,1
2954-PIBKO,5,0,15,37,9.54,0,1,3,1,0
8012-SOUDQ,2,0,9,6,8.15,3,2,6,2,2
9420-LOJKX,4,2,5,3,8.48,4,4,4,5,0
6575-SUVOI,5,2,11,3,6.44,3,2,7,0,1
7495-OOKFY,4,2,6,74,6.43,2,0,3,2,1
4667-QONEA,2,0,11,1,4.72,1,2,5,1,1
1658-BYGOY,4,1,7,51,8.41,0,1,3,2,1
8769-KKTPH,3,0,17,36,7.44,2,0,7,1,2
5067-XJQFU,4,1,9,22,11.62,4,1,6,4,0
3957-SQXML,4,1,13,14,5.98,2,0,4,2,0
5954-BDFSG,2,0,11,29,5.7,0,3,5,1,0
0434-CSFON,1,0,13,1,8.87,1,1,5,2,0
1215-FIGMP,6,2,11,3,7.98,1,2,3,1,3
0526-SXDJP,2,0,8,25,9.4,2,1,8,1,1
0557-ASKVU,3,1,10,42,9.47,3,0,5,0,2
5698-BQJOH,8,4,9,11,11.06,4,2,3,0,1
5122-CYFXA,6,2,10,2,9.0,1,0,6,0,2
8627-ZYGSZ,1,1,13,42,9.39,1,2,7,2,1
3410-YOQBQ,1,0,12,15,8.73,1,1,8,2,1
3170-NMYVV,1,1,9,86,9.43,1,2,4,0,1
7410-OIEDU,3,1,11,8,9.73,0,0,7,2,2
2273-QCKXA,1,1,9,0,6.94,2,0,5,0,0
0731-EBJQB,1,0,9,0,5.09,0,0,5,2,0
1891-QRQSA,4,1,13,11,7.03,3,0,7,1,1
8028-PNXHQ,4,1,15,27,6.49,3,1,5,0,2
5630-AHZIL,3,1,8,64,5.94,0,0,6,2,1
2673-CXQEU,1,0,12,4,11.23,2,1,4,3,2
6416-JNVRK,3,2,12,51,6.86,0,2,6,1,0
5590-ZSKRV,6,2,9,7,5.68,2,2,8,1,0
0191-ZHSKZ,2,0,7,7,10.9,2,1,5,2,2
3887-PBQAO,2,0,16,7,7.18,1,1,6,0,0
5919-TMRGD,7,4,5,19,11.92,2,2,4,5,0
8108-UXRQN,2,1,14,42,6.84,1,1,2,4,0
9191-MYQKX,1,1,14,49,11.08,5,5,3,0,0
9919-YLNNG,2,0,8,42,8.94,1,3,3,2,1
0318-ZOPWS,3,1,15,60,6.68,1,2,6,4,2
4445-ZJNMU,9,5,6,49,6.94,1,1,3,1,3
4808-YNLEU,6,2,14,72,7.71,1,0,6,0,1
1862-QRWPE,3,1,14,49,8.31,2,0,3,4,0
2796-NNUFI,5,0,8,2,4.96,2,0,5,2,1
3016-KSVCP,5,3,7,42,12.68,1,0,7,1,1
4767-HZZHQ,2,0,9,83,11.46,3,2,6,2,2
2424-WVHPL,2,0,7,31,8.55,1,2,4,0,3
7233-PAHHL,2,1,12,7,8.51,1,0,7,1,0
6067-NGCEU,5,1,7,17,7.69,2,2,5,1,0
9848-JQJTX,0,0,14,34,5.16,4,2,6,2,4
8637-XJIVR,4,2,4,60,11.76,3,2,2,0,4
9803-FTJCG,4,0,13,6,4.69,0,2,6,1,0
0278-YXOOG,2,1,6,36,10.57,5,1,5,3,1
3212-KXOCR,4,2,6,7,5.97,1,2,6,1,0
4598-XLKNJ,5,3,6,5,8.21,4,6,6,2,3
6380-ARCEH,4,0,13,12,7.83,0,2,7,0,1
3679-XASPY,6,1,11,16,10.59,5,3,3,1,2
7123-WQUHX,4,0,11,1,7.78,3,0,2,1,0
5386-THSLQ,7,3,6,37,7.65,2,1,6,2,0
3192-NQECA,5,2,6,29,6.19,5,1,4,0,0
6180-YBIQI,2,0,19,3,7.21,3,2,5,1,1
6728-DKUCO,2,0,7,1,4.21,1,1,8,1,0
9750-BOOHV,2,1,15,87,7.1,2,2,6,1,2
8597-CWYHH,3,1,13,16,7.83,6,0,6,3,0
2848-YXSMW,2,0,13,7,6.0,0,1,7,1,0
0486-HECZI,6,1,7,8,9.85,1,3,3,1,2
4549-ZDQYY,1,0,14,22,8.21,1,0,7,2,3
5712-AHQNN,4,2,8,37,8.9,2,1,8,0,0
4846-WHAFZ,4,2,5,7,10.53,9,2,3,2,2
5256-SKJGO,1,0,12,17,9.23,0,3,6,0,1
3071-VBYPO,3,0,16,0,3.12,1,1,6,1,0
9560-BBZXK,3,0,11,22,5.27,1,0,5,0,0
5299-RULOA,4,0,5,27,10.79,3,2,2,1,2
8402-OOOHJ,7,1,12,3,7.95,3,0,7,2,0
9445-ZUEQE,7,1,10,4,6.07,0,2,7,4,2
1091-SOZGA,0,0,15,49,7.7,2,1,6,1,0
2928-HLDBA,4,1,8,17,9.27,4,2,4,1,0
0404-SWRVG,2,1,5,46,8.41,2,3,5,1,3
6497-TILVL,4,1,10,25,7.04,1,2,3,1,1
7219-TLZHO,1,0,13,40,4.84,2,4,5,1,0
4622-YNKIJ,5,0,8,36,7.65,0,0,6,1,2
4412-YLTKF,5,1,8,50,9.86,4,3,3,2,2
6734-PSBAW,4,1,16,17,4.27,1,0,8,0,0
3930-ZGWVE,3,1,12,52,6.36,1,2,6,1,0
2639-UGMAZ,4,1,14,53,6.76,1,1,6,1,1
2876-GZYZC,3,2,14,6,9.82,2,1,4,1,2
6207-WIOLX,6,2,9,89,9.03,8,2,3,1,2
8587-XYZSF,2,0,13,20,5.55,2,2,5,3,0
3091-FYHKI,6,1,3,16,12.85,2,3,3,2,3
2372-HWUHI,5,1,5,30,11.22,4,2,4,3,0
7799-LGRDP,2,0,16,6,3.99,0,1,5,1,2
7850-VWJUU,3,1,14,46,9.5,0,0,6,1,1
3774-VBNXY,3,1,8,18,6.42,1,3,7,3,0
6217-KDYWC,5,1,18,18,10.11,2,1,7,1,2
0390-DCFDQ,4,1,2,25,9.14,2,4,4,0,0
3146-MSEGF,4,2,13,90,3.74,1,3,6,0,1
4080-OGPJL,4,2,7,90,8.71,2,1,4,5,0
1095-WGNGG,3,1,13,0,4.48,3,1,7,0,1
2636-SJDOU,2,0,12,8,6.14,4,2,7,0,0
1131-QQZEB,1,0,10,3,2.11,0,0,4,1,0
5716-EZXZN,3,1,11,13,6.87,1,2,4,1,1
6837-BJYDQ,0,0,23,6,2.89,3,0,5,1,4
2135-RXIHG,3,1,2,14,9.64,2,2,5,2,1
6440-DKQGE,5,0,9,54,2.89,3,2,2,0,1
3466-BYAVD,2,1,13,40,5.56,2,1,7,0,1
3780-YVMFA,2,1,10,24,8.93,4,3,5,0,2
3874-EQOEP,5,0,12,48,11.25,3,0,3,2,0
1679-JRFBR,3,0,14,20,4.85,0,1,7,1,0
9073-ZZIAY,3,0,7,22,8.1,0,1,3,0,0
3077-RSNTJ,6,2,11,43,4.03,1,0,4,0,1
6551-GNYDG,3,2,7,13,10.65,3,1,5,2,1
9167-APMXZ,4,1,12,17,10.34,3,1,6,3,2
2749-CTKAJ,6,0,9,43,7.29,3,1,6,0,2
6371-NZYEG,1,1,17,60,6.09,2,2,6,3,0
7554-NEWDD,1,1,9,1,1.94,0,0,8,2,2
8992-VONJD,3,1,9,5,7.29,1,3,5,0,1
0867-MKZVY,3,1,8,20,11.2,3,2,4,1,1
4482-EWFMI,3,0,4,8,9.71,6,2,5,2,1
4648-YPBTM,3,2,17,23,6.95,0,2,5,0,1
2907-ILJBN,3,1,15,0,4.82,0,2,6,3,1
6345-FZOQH,4,0,12,0,6.8,0,2,6,0,1
3376-BMGFE,4,2,3,21,8.2,4,0,3,2,1
5997-OPVFA,2,1,18,2,10.04,1,2,6,0,1
3445-HXXGF,6,0,7,22,11.09,1,5,4,3,0
1159-WFSGR,1,1,8,50,8.39,4,0,5,0,0
7654-YWJUF,2,0,11,50,7.16,1,2,6,1,0
1875-QIVME,14,4,8,90,8.03,1,1,4,1,1
6727-IOTLZ,3,0,7,48,5.37,0,1,6,4,1
0691-JVSYA,3,1,9,47,13.6,3,1,2,1,2
5918-VUKWP,1,0,18,6,4.71,0,2,8,0,1
1744-JHKYS,4,0,10,86,7.93,2,5,4,5,2
2656-FMOKZ,10,4,5,31,10.14,1,3,5,1,0
2070-FNEXE,5,2,7,21,9.92,0,1,4,3,0
5947-SGKCL,3,1,7,16,8.25,2,2,6,2,1
3712-PKXZA,5,3,14,90,10.93,0,0,7,1,1
6317-YPKDH,3,1,4,21,10.21,3,2,4,4,1
6582-OIVSP,3,2,10,9,8.83,3,1,9,3,2
9367-WXLCH,6,2,3,11,9.27,3,3,3,6,2
5524-KHNJP,9,1,13,52,7.34,1,2,2,3,1
1918-ZBFQJ,7,1,8,69,10.86,3,4,3,1,0
1024-GUALD,3,3,4,9,12.75,2,4,5,1,3
4827-USJHP,3,0,11,54,10.32,2,1,8,1,1
8167-GJLRN,3,0,10,0,1.0,2,2,9,0,0
0956-SYCWG,0,0,13,42,3.4,0,0,8,3,1
8017-UVSZU,5,2,7,11,12.5,2,3,5,2,1
7100-FQPRV,4,1,8,54,6.92,3,0,5,1,0
2472-OVKUP,3,0,8,83,9.14,2,0,6,1,1
2984-RGEYA,2,0,9,37,5.65,1,0,7,0,0
9680-NIAUV,2,1,16,23,5.41,3,4,4,4,0
2146-EGVDT,2,1,14,1,4.93,1,1,8,6,2
2604-IJPDU,4,3,9,27,6.62,1,2,3,2,3
9178-JHUVJ,4,1,10,21,6.53,3,3,4,0,1
6168-YBYNP,3,0,14,7,5.84,3,1,3,2,0
7255-SSFBC,4,0,11,50,9.13,0,1,6,2,2
3645-DEYGF,3,2,8,21,7.47,5,1,7,3,1
9323-HGFWY,5,2,10,37,7.95,3,2,6,2,2
8544-GOQSH,6,2,3,4,8.74,0,2,2,2,0
3363-DTIVD,0,0,17,2,6.52,1,4,6,3,1
